Rank,Link,PageRank
0,https://www.apple.com/apple-events/,0.0593524300564958
1,https://investor.apple.com/site-map/default.aspx,0.0412985933660404
2,https://www.apple.com/contact/,0.0405651963244785
3,https://investor.apple.com/leadership-and-governance/default.aspx,0.0354279659332659
4,https://investor.apple.com/esg/default.aspx,0.0354275808847609
5,https://investor.apple.com/sec-filings/default.aspx,0.0354275808847609
6,https://www.apple.com/mac/,0.0354275808847609
7,https://investor.apple.com/faq/default.aspx,0.0354275808847609
8,https://apps.apple.com/us/app/apple-support/id1130498044?pt=2003&ct=support.home&mt=8&l=en,0.0354275808847609
9,https://support.apple.com/en-us/HT201541,0.0354275808847609
10,https://support.apple.com/en-us/HT204204,0.0354275808847609
11,https://support.apple.com/ios/update,0.0354275808847609
12,https://www.apple.com/us/shop/goto/eppstore/veteransandmilitary,0.0354275808847609
13,https://www.apple.com/leadership/,0.025556682356371
14,https://www.apple.com/jobs/us/,0.0198388169792789
15,https://www.apple.com/homepod/,0.0198388169792789
16,https://www.apple.com,0.0151797346560877
17,https://secure.store.apple.com/shop/account/home,0.0134458949200374
18,https://apple.com/legal/internet-services/terms/site.html,0.0134458949200374
19,https://www.apple.com/iphone/,0.0134458949200374
20,https://apps.apple.com/us/developer/gameloft/id282764297,0.0133349388087612
21,https://apps.apple.com/us/developer/apple/id284417353?mt=12,0.0121654421956866
22,https://www.apple.com/ios/app-store/,0.0121654421956866
23,https://secure4.store.apple.com/shop/account/home,0.0121573643185102
24,https://apps.apple.com/us/app/macos-monterey/id1576738294,0.0119129142915896
25,https://www.apple.com/today/,0.0119129142915896
26,https://tv.apple.com/channel/tvs.sbd.4000?itscg=10000&itsct=atv-0-iph_fp-tle_stm-apl-avl-191111,0.0118596937789782
27,https://www.apple.com/apple-arcade/,0.0118596937789782
28,https://itunes.apple.com/us/genre/id6014,0.0118596937789782
29,https://support.apple.com/kb/HT209218,0.0118596937789782
30,https://www.apple.com/itunes/,0.0118596937789782
31,https://itunes.apple.com/app/apple-store/id375380948?pt=2003&ct=footer&mt=8,0.0118596937789782
32,https://apps.apple.com/arcade/offers?itscg=10000&itsct=arc-0-mac_fp-promo-apl-offer-191019,0.0118596937789782
33,https://one.apple.com/us?itscg=10000&itsct=one-NA-ipad-tile-apl-avl-102020,0.0099169693489787
34,https://apps.apple.com/us/app/the-oregon-trail/id460062770,0.0098383669374506
35,https://www.apple.com/diversity/,0.0084748259505788
36,https://www.apple.com/retail/fieldtrip/,0.0077203414245814
37,https://tv.apple.com/channel/tvs.sbd.4000?itscg=10000&itsct=atv-0-mac_fp-tle_stm-apl-avl-191111,0.0071123272327939
38,https://www.apple.com/retail/geniusbar/,0.0067171749430337
39,https://www.apple.com/retail/learn/youth/,0.0067171749430337
40,https://www.apple.com/supplier-responsibility/,0.0065969614358175
41,https://www.apple.com/us/shop/goto/educationrouting,0.0055693101622932
42,https://www.apple.com/business/,0.0055693101622932
